                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1184,                0.84807,                0.98763,                0.33957,                0.08077,                0.07073,                0.03791,                   1.65,                 1.5043,                 1.2206,             0.00012496,             0.00012496,             0.00012496
                      2,                 1.1409,                0.86188,                 0.9934,                0.15508,                0.11054,                0.07794,                0.04019,                 1.6123,                 1.4659,                  1.208,             0.00025204,             0.00025204,             0.00025204
                      3,                 1.1698,                0.89426,                0.99887,                0.44287,                0.07155,                 0.0776,                0.04084,                 1.6886,                   1.45,                 1.2253,             0.00037784,             0.00037784,             0.00037784
                      4,                 1.1902,                0.91866,                 1.0108,                0.32262,                0.08312,                0.08693,                0.04333,                 1.6667,                 1.5373,                 1.2267,             0.00037928,             0.00037928,             0.00037928
                      5,                 1.1866,                0.91706,                 1.0056,                0.12855,                0.08258,                0.06302,                0.03259,                 1.6919,                 1.6631,                 1.2447,             0.00037928,             0.00037928,             0.00037928
                      6,                 1.1792,                0.91402,                 1.0068,                0.36199,                0.08363,                0.07273,                0.03668,                 1.6677,                 1.5825,                 1.2274,             0.00037738,             0.00037738,             0.00037738
                      7,                 1.1853,                0.91881,                   1.01,                 0.2016,                 0.1022,                0.09637,                0.04502,                 1.7026,                 1.5409,                 1.2479,             0.00037547,             0.00037547,             0.00037547
                      8,                 1.1864,                 0.9142,                  1.008,                0.29581,                0.07903,                0.07552,                0.03731,                 1.6961,                 1.5363,                 1.2579,             0.00037357,             0.00037357,             0.00037357
                      9,                 1.1682,                 0.9043,                 1.0021,                0.34813,                0.07395,                0.07361,                0.03855,                 1.6585,                 1.4719,                 1.2374,             0.00037166,             0.00037166,             0.00037166
                     10,                 1.1907,                0.92209,                 1.0092,                0.38402,                0.07741,                0.08332,                0.03877,                 1.6841,                 1.5355,                 1.2218,             0.00036975,             0.00036975,             0.00036975
                     11,                   1.18,                0.90863,                 1.0069,                0.26558,                0.08215,                0.06794,                0.03345,                 1.7083,                 1.8509,                 1.2401,             0.00036785,             0.00036785,             0.00036785
                     12,                 1.1745,                0.90259,                 1.0034,                0.27748,                0.09911,                0.06603,                 0.0336,                 1.8095,                 1.6266,                 1.2855,             0.00036594,             0.00036594,             0.00036594
                     13,                 1.1616,                0.88852,                0.99779,                0.22527,                0.09585,                0.07757,                0.03726,                 1.6621,                 1.5185,                 1.2325,             0.00036404,             0.00036404,             0.00036404
                     14,                 1.1793,                0.90314,                 1.0045,                0.16008,                0.09612,                0.07737,                0.04023,                 1.6454,                  1.473,                 1.2187,             0.00036213,             0.00036213,             0.00036213
                     15,                 1.1863,                0.90463,                 1.0057,                 0.1603,                0.10272,                0.07663,                0.03617,                 1.7233,                 1.5672,                 1.2635,             0.00036023,             0.00036023,             0.00036023
                     16,                 1.1682,                0.89878,                0.99869,                0.40907,                 0.0756,                0.07538,                0.03782,                 1.6624,                 1.4287,                 1.2109,             0.00035832,             0.00035832,             0.00035832
                     17,                 1.1731,                 0.8973,                 1.0005,                0.44806,                0.06483,                0.07259,                0.03704,                  1.592,                 1.5302,                 1.1949,             0.00035641,             0.00035641,             0.00035641
                     18,                 1.1757,                0.88793,                 1.0007,                0.26744,                0.09359,                0.07156,                0.03529,                 1.6934,                 1.6125,                 1.2346,             0.00035451,             0.00035451,             0.00035451
                     19,                 1.1522,                0.87542,                0.99286,                0.22566,                0.08527,                0.06966,                0.03665,                 1.6197,                 1.5127,                 1.1938,              0.0003526,              0.0003526,              0.0003526
                     20,                 1.1609,                0.88468,                0.99722,                  0.283,                0.08273,                0.07576,                0.03984,                 1.6743,                 1.5283,                 1.2298,              0.0003507,              0.0003507,              0.0003507
                     21,                 1.1665,                0.88926,                0.99863,                0.09796,                0.10405,                0.07994,                0.03936,                  1.629,                 1.4767,                 1.2002,             0.00034879,             0.00034879,             0.00034879
                     22,                 1.1562,                0.88212,                0.99222,                0.48244,                0.06499,                0.07591,                0.03929,                 1.6645,                 1.5141,                 1.2111,             0.00034689,             0.00034689,             0.00034689
                     23,                 1.1563,                0.87658,                0.99557,                0.32254,                0.07446,                0.07453,                0.03697,                  1.654,                 1.5653,                 1.2207,             0.00034498,             0.00034498,             0.00034498
                     24,                 1.1621,                0.87391,                0.99165,                0.17935,                0.09739,                0.08057,                0.04031,                 1.6654,                 1.4675,                 1.2189,             0.00034307,             0.00034307,             0.00034307
                     25,                  1.155,                0.87814,                0.99265,                0.27172,                0.08517,                0.07214,                0.03855,                 1.6451,                 1.5412,                 1.1999,             0.00034117,             0.00034117,             0.00034117
                     26,                 1.1591,                0.88336,                 0.9923,                0.36763,                0.07789,                0.07457,                0.03866,                   1.63,                 1.4417,                 1.2058,             0.00033926,             0.00033926,             0.00033926
                     27,                   1.16,                0.87192,                0.99167,                0.14574,                0.09774,                0.07268,                0.03692,                 1.7023,                 1.5635,                 1.2325,             0.00033736,             0.00033736,             0.00033736
                     28,                 1.1558,                0.87531,                0.99723,                0.22264,                0.07262,                0.08301,                0.04003,                 1.6616,                 1.5034,                 1.2117,             0.00033545,             0.00033545,             0.00033545
                     29,                  1.149,                0.87468,                0.99624,                0.10117,                0.08251,                 0.0691,                0.03629,                 1.6505,                 1.4861,                 1.2054,             0.00033354,             0.00033354,             0.00033354
                     30,                 1.1581,                0.87805,                0.99345,                0.21942,                0.07997,                0.07496,                 0.0388,                  1.625,                 1.4779,                 1.2002,             0.00033164,             0.00033164,             0.00033164
                     31,                 1.1617,                0.87529,                 0.9917,                0.23862,                0.09237,                0.08633,                0.04765,                 1.5831,                 1.4532,                   1.18,             0.00032973,             0.00032973,             0.00032973
                     32,                  1.146,                0.86995,                0.99652,                0.13282,                0.09354,                0.08462,                0.04185,                 1.6602,                 1.5152,                 1.2231,             0.00032783,             0.00032783,             0.00032783
                     33,                 1.1463,                0.86387,                0.98861,                0.15326,                0.10265,                0.09177,                0.04685,                  1.651,                 1.4313,                 1.2133,             0.00032592,             0.00032592,             0.00032592
                     34,                 1.1457,                0.86259,                0.98916,                0.16834,                0.09796,                 0.0839,                0.04368,                 1.6189,                  1.445,                 1.1967,             0.00032402,             0.00032402,             0.00032402
                     35,                 1.1351,                0.84752,                0.98255,                0.08487,                0.10595,                0.07838,                0.04144,                 1.6158,                  1.467,                 1.1921,             0.00032211,             0.00032211,             0.00032211
                     36,                 1.1369,                0.85986,                0.98688,                0.13216,                0.17427,                 0.1146,                0.06515,                 1.6845,                 1.4987,                 1.2297,              0.0003202,              0.0003202,              0.0003202
                     37,                 1.1345,                 0.8537,                0.98546,                0.13439,                0.10988,                 0.0811,                0.04361,                 1.6577,                 1.5068,                 1.2152,              0.0003183,              0.0003183,              0.0003183
                     38,                 1.1275,                0.84456,                0.98011,                0.12379,                0.12569,                0.08646,                0.04492,                 1.6176,                 1.4956,                 1.1972,             0.00031639,             0.00031639,             0.00031639
                     39,                   1.13,                0.85108,                0.98458,                0.22881,                0.09814,                0.06775,                0.03625,                 1.6328,                 1.5592,                 1.2175,             0.00031449,             0.00031449,             0.00031449
                     40,                 1.1276,                0.83803,                  0.982,                0.11823,                0.12517,                0.08295,                0.04291,                 1.6285,                 1.5787,                 1.2034,             0.00031258,             0.00031258,             0.00031258
                     41,                 1.1307,                0.84827,                 0.9834,                0.16969,                0.10953,                0.08187,                0.04122,                  1.644,                 1.5632,                  1.213,             0.00031068,             0.00031068,             0.00031068
                     42,                 1.1257,                0.84373,                0.98328,                0.28342,                0.08905,                 0.0919,                0.04322,                  1.615,                 1.5068,                 1.1916,             0.00030877,             0.00030877,             0.00030877
                     43,                 1.1227,                0.83789,                0.97613,                0.27154,                0.09504,                0.08465,                0.04373,                 1.6398,                 1.3842,                 1.1997,             0.00030686,             0.00030686,             0.00030686
                     44,                  1.119,                0.83653,                 0.9804,                0.48591,                0.07591,                  0.073,                0.03834,                 1.6646,                 1.4744,                 1.2091,             0.00030496,             0.00030496,             0.00030496
                     45,                 1.1189,                0.83238,                0.97928,                0.13847,                0.10564,                0.07366,                0.03587,                  1.637,                 1.5002,                 1.2038,             0.00030305,             0.00030305,             0.00030305
